,Nazwa,Pikinier,Halabardnik,Łucznik,Kusznik,Gryf,Gryf królewski,Zbrojny,Krzyżowiec,Mnich,Kapłan,Kawalerzysta,Czempion,Anioł,Archanioł,Centaur,Centaur bojowy,Krasnolud,Krasnoludzki wojownik,Leśny elf,Wysoki elf,Pegaz,Srebrny pegaz,Drzewiec,Ent,Jednorożec,Jednorożec bitewny,Zielony smok,Złoty smok,Gremlin,Większy gremlin,Kamienny gargulec,Obsydianowy gargulec,Kamienny golem,Żelazny golem,Mag,Arcymag,Dżinn,Wielki dżinn,Naga,Królewska naga,Gigant,Tytan,Chochlik,Chowaniec,Gog,Magog,Piekielny ogar,Cerber,Demon,Rogaty demon,Czart,Czarci lord,Ifryt,Sułtański ifryt,Diabeł,Arcydiabeł,Szkielet,Kościej,Ożywieniec,Zombie,Zjawa,Upiór,Wampir,Wampirzy lord,Lisz,Arcylisz,Czarny rycerz,Upiorny rycerz,Kościany smok,Upiorny smok,Troglodyta,Piekielny troglodyta,Harpia,Harpia wiedźma,Złe oko,Obserwator,Meduza,Meduza królewska,Minotaur,Wielki minotaur,Mantikora,Chimera,Czerwony smok,Czarny smok,Goblin,Hobgoblin,Wilczy jeździec,Wilczy rycerz,Ork,Uruk,Ogr,Ogr szaman,Rok,Ptak gromu,Cyklop,Cyklop królewski,Behemot,Starożytny behemot,Gnoll,Gnoll maruder,Jaszczuroczłek,Reptilion,Ważka,Smocza ważka,Bazyliszek,Bazyliszek większy,Gorgona,Wielka gorgona,Wiwerna,Wiwerna królewska,Hydra,Hydra chaosu,Nimfa,Rusałka,Żywiołak powietrza,Żywiołak burzy,Żywiołak wody,Żywiołak lodu,Żywiołak ognia,Żywiołak energii,Żywiołak ziemi,Żywiołak magmy,Żywiołak umysłu,Żywiołak magii,Ognisty ptak,Feniks,Chłop,Niziołek,Rozbójnik,Knurzy jeździec,Mumia,Nomad,Strzelec,Troll,Złoty golem,Diamentowy golem,Czarodziej,Czarodziejski smok,Rdzawy smok,Kryształowy smok,Błękitny smok
36,Dżinn,0.1375565611,0.1566742081,0.1357466063,0.1624580611,0.3683105981,0.4085354733,0.6323529412,0.7649321267,0.5957013575,1.1877828054,2.047774387,2.3723452327,5.7661764706,8.9505354411,0.1314479638,0.1676470588,0.2575791855,0.2614253394,0.2289404168,0.4867647059,0.5523565792,0.575321726,0.9906108597,1.082918552,1.9933774834,2.2168832587,4.8453505719,7.6329315845,0.0692307692,0.0674984659,0.2057692308,0.2267087751,0.4197963801,0.4666289593,0.59461715,0.8461538462,1,1.0641662901,2.5156108597,3.2126696833,4.2058823529,11.4270361991,0.0680995475,0.0766968326,0.1712992889,0.1741149158,0.371333472,0.5625565611,0.6196832579,0.6650452489,1.0558823529,1.1538461539,2.0574660634,2.3058823529,5.9188914027,8.400678733,0.1035067873,0.1089366516,0.1925339367,0.2238687783,0.2829235433,0.2928053542,0.6060936988,1.1569004525,0.6805778491,1.2205882353,2.4935520362,2.896719457,3.809309647,4.8845433743,0.0900452489,0.1033936652,0.1873303167,0.2860859729,0.3691901989,0.4566742081,0.5488905404,0.6188994959,1.1599547511,1.3893665158,1.6666666667,1.7950745594,5.0176075125,7.7664974619,0.0780542986,0.0850507033,0.1722850679,0.2610859729,0.2056335011,0.2323105217,0.6852941176,0.8550904977,1.1617647059,1.2511312217,1.3475252794,2.2725113122,4.1134615385,7.0521493213,0.1132352941,0.117081448,0.1615384615,0.2123303167,0.3122171946,0.3238687783,0.6418552036,0.7323076923,1.2584841629,1.4771493213,1.454427925,1.7834841629,4.5130901523,6.3897866839,0.0622171946,0.1087104072,0.4126696833,0.5205097997,0.4463800905,0.3769093434,0.4747737557,0.5172224056,0.5808823529,0.6910633484,1.8880090498,2.6174208145,3.8889839206,4.7065826331,0.0239819005,0.0775674837,0.1679864253,0.1950226244,0.3711538462,0.3998868778,0.7567873303,0.8274078862,0.8429864253,1.1005656109,1.7409502262,6.2066123562,16.6696096361,27.5998035501,35.8549340609
37,Wielki dżinn,0.1378980892,0.1567940552,0.1357749469,0.1623720438,0.3680402642,0.3823830659,0.6317409766,0.7664543524,0.5959660297,0.8095541401,1.9942611191,2.1818181818,5.76507431,8.9468855133,0.1313163482,0.1507430998,0.2578556263,0.2607218684,0.2290748899,0.2755807177,0.5052672649,0.5751592357,0.9911889597,1.0826963907,1.8591723286,2.0695279845,4.4074543152,7.6288751107,0.0693205945,0.0673331973,0.2058386412,0.2132625995,0.4195329087,0.466985138,0.593997499,0.6690937715,0.9397027601,1,2.5147558386,2.9497299543,4.1072186837,8.658492569,0.0683651805,0.0714437367,0.1713375796,0.1742033824,0.3620322483,0.4577494692,0.6194267516,0.6654989384,1.0567940552,1.0567210567,1.7063451517,2.3080679406,5.41507431,8.4023354565,0.1033970276,0.1092356688,0.192462845,0.2242038217,0.2824840764,0.2826379542,0.6066878981,0.9998938429,0.6810697936,0.8038441481,2.4058386412,2.6787685775,3.4458909683,4.8638011393,0.0899150743,0.1030785563,0.1874734607,0.2323084431,0.3699575372,0.3812987013,0.5488322718,0.6200636943,1.1577494692,1.2365180467,1.5950097948,1.6868365181,4.6430334749,7.7651144155,0.0781316348,0.0806701831,0.1725053079,0.2038766697,0.205626327,0.2316155182,0.6854564756,0.8536093418,1.1122080679,1.2290870488,1.3479830149,1.4287128713,4.1118895966,6.5782377919,0.113163482,0.1170912951,0.1616772824,0.2122080679,0.2938428875,0.3227176221,0.6427813163,0.7175879397,1.2591295117,1.4766454352,1.4352441614,1.742462845,4.5101910828,5.9608040201,0.0566193123,0.0709325767,0.4014861996,0.3468208092,0.4466029724,0.3774334525,0.4747346072,0.486794407,0.5817409766,0.6907643312,1.7500262137,2.0389136603,3.8909806606,4.7079013729,0.0238853503,0.0774473358,0.1678343949,0.1949044586,0.3709129512,0.3890658174,0.5327868852,0.8108964207,0.8438428875,1.1003184713,1.0830648049,6.204645562,16.6896072736,27.6114269671,35.8696146672
38,Naga,0.0472222222,0.0570436508,0.0654265873,0.1494047619,0.1458489155,0.1503406155,0.220734127,0.3709325397,0.3728670635,0.5242559524,0.7961379536,0.893388922,2.178574529,3.2949127088,0.0570436508,0.0633085604,0.0873015873,0.0931912427,0.1603174603,0.2589285714,0.2063416189,0.212714914,0.3317956349,0.3610936235,0.7474856173,0.8137250972,1.8326123754,2.8189435099,0.0243551587,0.0441964286,0.0807161726,0.0833022504,0.140625,0.1602863368,0.3392857143,0.408234127,0.3975177624,0.3976529191,1,1.3916111329,1.8132162887,4.6619047619,0.0273809524,0.0314484127,0.0811507937,0.1175836559,0.146054085,0.2035218254,0.2454861111,0.2636904762,0.4399305556,0.4395604396,0.7384152812,0.8471235388,2.1620819735,3.0136812233,0.0362599206,0.0431547619,0.0656746032,0.0759920635,0.1020449484,0.114416476,0.275297619,0.4123015873,0.5024801587,0.5661210317,0.9658012865,1.0880687009,1.4302600473,1.8269530034,0.0318948413,0.0378787879,0.0749866095,0.1032224487,0.2009920635,0.2144345238,0.282093254,0.3586309524,0.4814484127,0.5232472686,0.6345365053,0.6637426901,1.8968090685,2.8631931449,0.03125,0.0345851993,0.0737103175,0.1098214286,0.0987599206,0.130952381,0.2340277778,0.303030303,0.4403001072,0.4566096937,0.8997519841,0.9729662698,1.7938988095,2.6991072991,0.0396825397,0.0446428571,0.0730654762,0.1276785714,0.114148125,0.1181247693,0.2281746032,0.2808811959,0.441468254,0.739781746,0.5748839586,0.6656434992,1.7966944311,2.5582298137,0.0262969161,0.0412022379,0.1596340971,0.2197802198,0.1640376984,0.2259424603,0.1844742063,0.1900833131,0.1954365079,0.271875,0.7768933575,0.939309057,1.4670108082,1.7721352107,0.0090277778,0.0558035714,0.0732638889,0.0773313492,0.1339285714,0.1496291799,0.3444444444,0.3529817304,0.2976190476,0.3844246032,0.7580853175,2.2239385748,5.9430717,9.2370911311,13.9058889928
39,Królewska naga,0.0383802817,0.043943662,0.0397702165,0.0491308643,0.1016742947,0.1265143599,0.1721478873,0.2354929577,0.1761619718,0.2904929577,0.6229193342,0.7544014085,1.8453169014,2.7799423485,0.0372887324,0.0540140845,0.071056338,0.0722408489,0.0669221529,0.1252816901,0.1742289193,0.1794750692,0.2697183099,0.2937323944,0.6166769105,0.6858803257,1.550802139,2.3757378496,0.0197535211,0.0197782439,0.0569456428,0.0700128879,0.1143309859,0.1271879727,0.1739395789,0.2394366197,0.3112676056,0.3390140845,0.7185915493,1,1.3091549296,3.478415493,0.0194366197,0.0232394366,0.0497668159,0.0508313036,0.109308022,0.1701056338,0.170528169,0.1827464789,0.2904225352,0.2972316659,0.6266197183,0.728943662,1.8079577465,2.5130633803,0.0293661972,0.0307042254,0.0533450704,0.0619014085,0.0784973367,0.0837120306,0.1756662657,0.3222183099,0.1968111031,0.3989084507,0.6998658618,0.9121478873,1.2115492958,1.520479197,0.0258098592,0.0292133268,0.0523328916,0.0858802817,0.1057568223,0.1485915493,0.1587301587,0.1771514537,0.316971831,0.4442253521,0.5067147068,0.5614084507,1.6055453118,2.4069882976,0.0221830986,0.0267958363,0.0486619718,0.0925352113,0.0600957776,0.0672702301,0.1899647887,0.2337066147,0.3287451985,0.3846421367,0.3823156369,0.705,1.193415493,2.2736267606,0.0321126761,0.0332042254,0.0463028169,0.0610915493,0.0963380282,0.0996830986,0.1762620941,0.228553137,0.3485915493,0.4948591549,0.4812676056,0.5612323944,1.3263367994,1.8159828536,0.0193661972,0.0352112676,0.1253521127,0.1601212441,0.1222887324,0.1067775655,0.1306690141,0.1600326875,0.1590492958,0.1889788732,0.5876760563,0.7880985915,1.2405194522,1.4936883279,0.0072183099,0.0232169391,0.0477464789,0.0542253521,0.1020422535,0.115694165,0.2450704225,0.2575452716,0.229084507,0.2967605634,0.5469014085,1.8446638529,4.9147500139,7.6887594551,11.5078670053
40,Gigant,0.0319257665,0.0364174287,0.0318955043,0.0381600232,0.0848605,0.0940445452,0.142711135,0.1724852071,0.1396449704,0.27232383,0.4652497191,0.5323868678,1.3421221521,2.0553655909,0.0307423346,0.0392953201,0.0594674556,0.0604357181,0.0537424496,0.0979289941,0.1281100064,0.1323350165,0.2228886498,0.2439483593,0.4428424305,0.4955812704,1.1133709637,1.7671679764,0.0160570199,0.0156490812,0.047767617,0.0524242977,0.0955890264,0.1064874645,0.1380045033,0.2194728349,0.2377622378,0.2434737658,0.5515061861,0.7638515331,1,2.6664604626,0.0158149543,0.0173480366,0.040014093,0.0407823412,0.0872775279,0.1307692308,0.1412049489,0.1518827327,0.2375739645,0.2582006118,0.4422669492,0.5133136095,1.3719741797,1.93302851,0.0240720818,0.0252555137,0.04464766,0.0519634212,0.0651331093,0.0677783755,0.1388576147,0.2553254438,0.1556191735,0.2902097902,0.5578573147,0.6727003765,0.8526273404,1.1134558388,0.0210866057,0.0241258741,0.0437869822,0.0664066703,0.0859400977,0.1085798817,0.1263935067,0.1422934649,0.2568316299,0.3123991393,0.3698567911,0.3975581075,1.16585257,2.1144381137,0.0182894029,0.01998002,0.0400753093,0.0609467456,0.0483189048,0.054646053,0.1580150619,0.1965572889,0.2630702631,0.2833064372,0.2985285795,0.5051102743,0.9799892415,1.762641205,0.0261430877,0.0270575578,0.0375201721,0.0490317375,0.0718396988,0.0740182894,0.1461864407,0.1707031343,0.2883270576,0.437197418,0.3377617654,0.4032515142,1.0338251531,1.4339248586,0.0140884756,0.0251588983,0.0951591778,0.1215942355,0.1018827327,0.0865229172,0.1096019365,0.1200357553,0.1331360947,0.1569123185,0.3206408976,0.5800430339,0.8934957752,1.0935034086,0.0055944056,0.0181325855,0.0394835933,0.0453738569,0.0856643357,0.0916480714,0.178429263,0.1932768351,0.1906132329,0.2462076385,0.3849381388,1.4465343755,3.8691120935,5.857791676,9.6120789496
41,Tytan,0.01144,0.0134430599,0.0190533333,0.02712,0.0372540279,0.0384602177,0.0540455197,0.0698362174,0.0830533333,0.0888899424,0.1949060024,0.2106424595,0.6518943773,1.1495035758,0.0127744919,0.0149729835,0.0202133333,0.0239072992,0.0337333333,0.0459066667,0.049890203,0.07336,0.0712266667,0.0891073727,0.1784743703,0.2026069425,0.422505897,0.9812812596,0.005244026,0.0085854775,0.0198594194,0.0218222087,0.0326081286,0.0430849673,0.0663577732,0.0754582982,0.0875117557,0.1154935449,0.2145045965,0.28748722,0.3750289997,1,0.00554121,0.0068085106,0.024,0.0258587252,0.0370608753,0.0483389647,0.0530361719,0.0617808325,0.090920976,0.0987463091,0.1733659995,0.2872,0.6477460317,1.07612,0.0079504949,0.0089769451,0.0148533333,0.01996,0.0244921761,0.028,0.0576156465,0.0989148423,0.0923003244,0.1139543971,0.236508692,0.2646666667,0.3248415582,0.6300266667,0.0067535084,0.0085334634,0.0179526935,0.0246471216,0.0408143433,0.0439242158,0.0511066518,0.0658675799,0.0986904312,0.1156557617,0.1529683977,0.1926060606,0.5224444444,1.0043185352,0.0065641923,0.0078491356,0.0167828557,0.0203319211,0.02916,0.0355866667,0.0550381033,0.0773881499,0.1084626189,0.139614734,0.1877733333,0.1992933333,0.4075950346,0.7455308039,0.0084,0.0093203401,0.0224933333,0.03108,0.029520976,0.04116,0.0547087157,0.070600799,0.1103082434,0.21748,0.1387119313,0.176,0.3977064309,0.6354257063,0.0052615467,0.0069169889,0.0399717054,0.0519702721,0.0398225054,0.0566666667,0.0462666667,0.0505762464,0.0498266667,0.0637406665,0.1388138032,0.2015163807,0.488683017,0.5858356941,0.0013502079,0.0104533333,0.0152380522,0.0187476565,0.0344141939,0.0404397974,0.0762155402,0.0774660141,0.073881617,0.0939393939,0.1109064078,0.7943075974,2.3496,3.3104992089,5.7752596651
42,Chochlik,1.874,2.3,2.606,5.832,5.450310559,5.6140350877,8.9,12.494,15.52,21.28,29.2631578947,32.1592649311,78.544600939,131.180866966,2.06,2.3350253807,3.536,3.6991150443,6.494,10.384,7.6740740741,7.8931750742,13.314,14.5471014493,27.3636363636,30.0740740741,65.7489878543,107.6625,0.946,1.716,3.0054644809,3.1211180124,5.654,6.529318542,14.82,16.658,14.6843853821,14.6273291925,36.5217391304,51.4492753623,63.231292517,180.466,1,1.1235955056,3.218,4.6601941748,5.5177743431,7.868,8.952,9.898,16.256,16.2549800797,27.0226537217,30.8,81.616,121.209540034,1.434,1.6007532957,2.646,3.078,4.0975609756,4.2338709677,10.5113636364,17.128,20.668,23.34,35.1346801347,39.1776315789,51.3333333333,65.9550561798,1.244,1.5135135135,2.7747747748,3.9338842975,7.392,8.692,12.664,14.432,17.742,18.9026548673,23.4393939394,24.1489361702,68.0463096961,107.933168317,1.1428571429,1.2560386473,2.7,3.6576576577,3.982,5.52,9.62,12.4907063197,16.6181229773,17.3354231975,36.158,38.214,58.125,84.7252747253,1.532,1.7142857143,2.898,4.836,4.2666666667,4.4061962134,9.2,10.5777777778,17.8,19.580952381,21.2264150943,24.1719745223,67.3202614379,97.5493421053,0.9353741497,1.4866979656,5.9831932773,8.8363636364,6.3,9.05,7.026,7.298136646,7.978,10.228,29.3838028169,35.3602811951,52.7494199536,63.1079812207,0.33,2.174,2.7,2.8712871287,5.2631578947,5.7024793388,14.046,13.1113956466,11.8811881188,15.594,29.188,84.4693701467,235.378450579,296.890566038,381.262088975
43,Chowaniec,1.8,2.085,1.7821782178,2.1247113164,4.8347107438,5.3781512605,8.1133333333,9.8583333333,8.0833333333,15.3116666667,26.8044077135,30.612244898,74.2455621302,120.549450549,1.7066666667,2.2009569378,3.3633333333,3.4206219313,3.0911492735,5.5166666667,7.2957746479,7.5035260931,12.5866666667,13.8416666667,25.0833333333,28.5915492958,62.4615384615,100.501750292,0.8966666667,0.8695652174,2.7004909984,2.9646017699,5.3783333333,6.0588235294,7.949790795,11.3333333333,13.0383480826,13.9970282318,31.7981072555,43.0303030303,57.6434108527,146.875,0.89,1,2.2617354196,2.3210831722,5.0638297872,7.4966666667,8.09,8.65,13.5866666667,14.4680851064,25.8114374034,29.2868462758,77.0543806647,112.047244094,1.3616666667,1.4316666667,2.51,2.9266666667,3.7168141593,3.8888888889,7.9512893983,16.0666666667,9.0308839191,13.8333333333,32.1076923077,36.9302325581,48.6083213773,62.6133333333,1.1683333333,1.3636363636,2.4758842444,3.7362637363,4.9122807018,6.1166666667,7.2105997211,8.1153305204,14.785,18.02,21.3085399449,23.0289855072,64.7658402204,101.171693735,1.0066666667,1.1063829787,2.2883333333,3.4866666667,2.7546628408,3.1209362809,9.185,11.4783333333,15.237388724,16.3609467456,17.3424657534,29.3083333333,50.1109350238,81.4795244386,1.475,1.5133333333,2.1,2.745,4.0634920635,4.183006536,8.3636363636,9.727520436,16.225,17.345,19.5652173913,22.9305135952,58.3569405099,85.9565217391,0.7971014493,1.3929618768,5.4517611026,6.9329529244,5.775,4.8843187661,6.29,6.9526627219,7.5966666667,8.9783333333,24.1884057971,33.5566666667,50.1323042999,59.8486197685,0.3116666667,0.9907529723,2.2425249169,2.57,4.8666666667,5.2833078101,10.3583333333,11.7701149425,10.875,14.1283333333,22.37,79.8206278027,217.019704433,294.005979073,377.429392054
44,Gog,0.5031446541,0.7566037736,0.7924528302,1.2132075472,2.3660377359,2.4414168937,3.0616352201,4.2754716981,3.793081761,4.0042712226,12.4295597484,13.5163522013,32.2559748428,61.4037735849,0.813836478,0.9440251572,0.8409506399,1.3534591195,1.4823899371,2.1081761006,3.2395247029,3.9257861635,2.8754171301,3.922813874,11.5,12.8660377358,27.2483221477,51.6057519473,0.2306079665,0.3884638022,1.1811320755,1.3748427673,1.3528138528,2.429245283,2.9702970297,3.3596837945,5.8377358491,5.8364312268,12.3227383863,20.0937106918,24.9911949686,41.6666666667,0.3107520199,0.4421383648,1,1.1183597391,2.3779874214,3.2578616352,3.0176100629,3.706918239,5.5440251572,6.5349706353,11.2578616352,15.4716981132,32.6823899371,58.2421383648,0.3430531732,0.5154639175,0.6015960712,0.9257861635,1.3976705491,1.8061926606,3.5773584906,9.5408805031,4.2042637581,5.087223008,14.9710691824,16.6660377358,21.0565568676,33.5949685535,0.2749301025,0.4751131222,1.0566037736,1.6477987421,1.8380743983,1.9469496021,2.4939700917,3.0241090147,6.0220125786,7.6264150943,9.8578616352,10.1798742138,28.1220095694,52.5045153522,0.3552397869,0.5006289308,1.0981132076,1.3968553459,1.2075471698,1.5320754717,2.3785020011,4.4106918239,7.0245283019,7.2597484277,8.4100628931,8.7934186472,23.9716981132,37.1790235081,0.3522012579,0.5360333532,0.9905660377,1.3679245283,1.8566037736,2.2113207547,3.1046119235,4.5176100629,6.2264150943,8.5660377359,8.9150943396,10.0842767296,22.6001097093,40.9157232704,0.3490566038,0.4979035639,2.5603773585,2.2752808989,2.2528301887,2.479245283,2.7459119497,3.1962264151,2.3012578616,3.8327044025,11.9396226415,13.9194968553,25.9828571429,31.1734693878,0.0460263885,0.4575960952,0.8962264151,1.1050314465,1.9459119497,2.5220125786,3.8044025157,5.2058973055,4.1735849057,5.3232704403,5.0776332354,42.2894168467,112.480851064,161.486042693,206.887955917
45,Magog,0.4583333333,0.5379166667,0.7004166667,1.0775,1.7366666667,2.4091666667,2.2475,3.36875,3.1320833333,3.88875,12.2125,13.2883333333,31.6295833333,59.64875,0.5416666667,0.9229166667,0.82625,1.0233333333,1.31625,2.0645833333,3.1970833333,3.8791666667,2.8004166667,3.6754166667,11.3104166667,12.6875,26.7066666667,50.3541666667,0.19625,0.3233333333,0.9279166667,1.355,1.3283333333,1.8616666667,2.4675,3.2358333333,5.7433333333,5.7404166667,8.5045833333,19.6729166667,24.5204166667,38.6716666667,0.2145833333,0.4308333333,0.8941666667,1,2.3145833333,3.2258333333,2.1875,3,4.4625,6.43875,11.0791666667,15.23125,31.88125,56.6970833333,0.3008333333,0.3579166667,0.5816666667,0.8254166667,1.0218978102,1.78375,2.8904166667,9.3183333333,3.8866666667,4.9454166667,14.70125,16.37625,20.7116666667,33.2633333333,0.25,0.3294117647,0.86625,1.6016666667,1.56125,1.8391666667,2.0219006648,2.7645833333,4.5229166667,7.4675,9.6983333333,10.0029166667,27.5504166667,51.32625,0.25,0.4891666667,0.7583333333,1.3579166667,1.085,1.2875,2.21,3.2725,6.8995833333,7.1429166667,7.64875,8.5108333333,17.78625,36.46125,0.3220833333,0.3682487725,0.86625,1.1579166667,1.8329166667,2.1795833333,2.2558234573,4.4441666667,4.6016666667,6.8533333333,8.77125,9.8829166667,15.6060606061,40.08,0.3408333333,0.4895833333,2.5233333333,2.1770833333,1.6929166667,2.2558333333,2.3,3.15125,2.0791666667,3.0625,11.6916666667,13.675,25.5170833333,30.6295833333,0.0445632799,0.3691666667,0.7029166667,0.90625,1.4866666667,2.4945833333,3.7625,5.14625,3.0933333333,3.8845833333,4.9753289474,41.5094339623,109.182156134,161.419778416,206.942257218
46,Piekielny ogar,0.3610644258,0.4106442577,0.3332451732,0.3818219548,0.9820928931,1.0679380215,1.674789916,2.1,1.5428571429,2.8361344538,5.4357541899,6.093557423,14.5857142857,22.5372367745,0.3445378151,0.4179271709,0.668907563,0.6859943978,0.5796383453,0.9271708683,1.433711597,1.5036414566,2.6067226891,2.8394957983,5.0901960784,5.7215686275,12.3404255319,19.2082961641,0.1834733894,0.1643835616,0.537254902,0.5792717087,1.1072829132,1.2551820728,1.568088033,2.1425770308,2.6929971989,2.762184874,6.8467787115,9.1484593838,11.4577030812,26.9826330532,0.181232493,0.1974789916,0.420523671,0.4320432043,1,1.4890756303,1.6904761905,1.806442577,2.8523809524,2.9737609329,5.1745098039,5.6781512605,15.2708683473,21.4246498599,0.2717086835,0.2882352941,0.5008403361,0.5801120448,0.7464985994,0.7673568819,1.7005602241,3.7557422969,1.7578772803,2.7476445124,6.5397759104,7.4226890756,9.6974789916,12.8376161837,0.2394957983,0.2719887955,0.4904761905,0.725210084,0.9585434174,1.1820728291,1.433324092,1.6260504202,3.1280112045,3.5714285714,4.3599439776,4.5896358543,12.7390950962,19.646316738,0.2056022409,0.2196078431,0.4571428571,0.6644257703,0.5154362416,0.5846528624,1.8787114846,2.3291316527,3.1103641457,3.3305322129,3.4013970983,5.2484593838,10.5179271709,16.4567769477,0.3016806723,0.3117647059,0.400280112,0.5266106443,0.8019607843,0.8425770308,1.7392156863,1.9761970662,3.349859944,3.7389355742,3.9467787115,4.6641456583,12.3338935574,17.443977591,0.1616246499,0.2725490196,1.1089635854,1.2344424689,1.1910364146,0.9571788413,1.2801120448,1.3789915966,1.5767507003,1.8700280112,5.4053221289,6.7801120448,9.940970704,11.9061116032,0.0661064426,0.1889168766,0.4464985994,0.5067226891,0.9739495798,1.0571428571,1.7896358543,2.3486238532,2.250140056,2.9577030812,4.0647058824,15.9563197783,41.7121666404,66.1587621931,85.0447632402
47,Cerber,0.2522959184,0.286283296,0.2438080495,0.2914620624,0.6680624286,0.8074981975,1.1489795918,1.6359693878,1.1310634328,1.562174547,3.6772486773,4.7371982856,11.4484489051,17.5590236094,0.2426006793,0.2933673469,0.4663265306,0.4714640199,0.4160739687,0.5003779289,1.0164835165,1.1475409836,1.7803571429,1.9396135266,3.4211024815,4.4072948328,9.653259362,14.8962296783,0.1293367347,0.1219061692,0.3722084367,0.4399212081,0.7594387755,0.8517676246,1.1293837924,1.2820512821,1.7775990348,2.1846011132,4.913477943,5.8787000621,7.6470588235,20.687244898,0.1270971022,0.1333926189,0.306949807,0.3099974167,0.6715575621,1,1.156122449,1.2395408163,1.9816326531,1.9825072886,4.038694075,4.5316331535,11.4654978647,16.0500789533,0.1913265306,0.2023327779,0.3484693878,0.4033163265,0.5169230769,0.5142857143,1.2131147541,2.4086734694,1.2915016753,1.5188626126,4.3918350168,5.652586616,7.5998205473,9.6209793075,0.1691326531,0.1916058394,0.3416149068,0.5490196078,0.6756485019,0.7101393189,1.0145211931,1.1544617847,2.1696428571,2.4223179859,2.9371558762,3.5844800361,9.9915002125,15.0830162574,0.144057623,0.1486280488,0.3177707162,0.5178571429,0.3662724151,0.4150812868,1.299744898,1.5973377704,2.0857026808,2.5513264129,2.4673552914,4.0492346939,7.44,13.0484451026,0.2114795918,0.2186588921,0.2898550725,0.3813248594,0.6093787194,0.6316308907,1.1984368215,1.3246753247,2.2867346939,2.5790265931,2.6491365777,3.6341872157,8.850698174,11.4830590513,0.1074428599,0.2178899083,0.7359933843,0.8265306122,0.8107142857,0.6744763933,0.8749682983,0.9580105993,1.0734693878,1.2829081633,3.4412371134,5.1300356961,7.7646857924,9.2372182518,0.0477040816,0.1410835214,0.3079379562,0.3526264591,0.6681514477,0.7076923077,1.4541387025,1.5538694992,1.5433673469,2.0323979592,3.2698979592,11.7182356814,31.2077922078,49.2587027298,64.7597535934
48,Demon,0.2146067416,0.2521929825,0.2657106706,0.555505618,0.6018518519,0.6244772791,0.9941912422,1.3874157303,1.4438202247,2.1265168539,3.2738896366,3.6051502146,8.7226277372,13.6655247586,0.2241147468,0.2519167579,0.402247191,0.4152592887,0.6179775281,0.9530337079,0.8388663968,0.8774534059,1.5208988764,1.6590909091,3.0709063085,3.3793907108,7.3362445415,11.6203453859,0.1092134831,0.1705617978,0.333400687,0.3450643777,0.6575280899,0.7407407407,1.3449438202,1.6714606742,1.6137276378,1.6143958869,4.0735502122,5.8641338014,7.0819047619,18.8550561798,0.1117068811,0.1236093943,0.3313880784,0.4571428571,0.5915492958,0.8649602824,1,1.0934831461,1.7995505618,1.8013245033,3.0563689605,3.4039417941,9.0571732955,12.9222666182,0.1631460674,0.1776755853,0.2993258427,0.3485393258,0.4530744337,0.4666666667,1.1652319966,2.0013483146,2.0215730337,2.2923305715,3.9281008846,4.3706422018,5.7609250128,7.4729471674,0.1424719101,0.1687763713,0.3059805285,0.4366972477,0.7550561798,0.8658426966,1.1617977528,1.4447191011,1.9788764045,2.0986441344,2.6336397685,2.7213563966,7.5887669464,11.8331071913,0.1269035533,0.1367941073,0.2923595506,0.3918918919,0.4001667361,0.5393258427,1.095505618,1.3884297521,1.8605072464,1.9492421572,3.6184269663,3.8633707865,6.7883211679,10.3403185247,0.1791011236,0.1920614597,0.3047191011,0.4907865169,0.4777010636,0.4962201977,1.0313901345,1.1776348342,1.9760213144,2.3676404494,2.3763421933,2.7292340885,7.6381164257,10.9105960265,0.1015697138,0.1626990923,0.6599925844,0.8672376874,0.7119101124,0.9071910112,0.7659857904,0.8064516129,0.9105617978,1.1352808989,3.3346653347,3.995234313,5.8921860827,7.1295215869,0.0388764045,0.2105617978,0.2854726158,0.3170091823,0.5867014342,0.6265891754,1.3449438202,1.4329694934,1.3321492007,1.7631460674,2.991011236,9.5140913508,25.6905432987,40.3797988093,52.3018242123
